GEO_ID,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
10,687337,663330,0.3366227970994829,0.663377202900517,0.4853,0.5147,35.265467625899284,93748.15107913669,0.1066,0.8934,0.1147,0.8853,0.1911,0.2869,0.1435,0.1174,0.1095,0.15159999999999998,0.6228,0.0725,0.0373,0.005,0.0014,0.0015,0.1794,9e-4,1e-4,0,0.004,0.0464,0.0224,0.0064,0.0849,0.4799,0.3847,0.0952,0.5201,0.4154,0.1046,0.4266,0.4608,0.041100000000000005,0.0715,0.10969999999999999,0.1346,0.0838,0.0374,0.3179,0.3164,0.7588,0.0358,0.2054,0.9326,0.7636,0.1925,0.0675,0.5522,0.2,0.1043,0.0153,0.0016,0.0142,0.0043,0.0056,0.064,0.0013,0.0016,0.0023,0.0338,0.0091,0.0019,0.0034,5e-4,0.0021,0.0015,0.0052,0.0078,0.0105,0.0079,0.0953,0.0056,0.0084,4e-4,0,8e-4,0,0.0014,0.0062,0.0029,5e-4,0,1e-4,0.003,0.0073,0.0151,0.001,0.0011,0.0453,0.0022,6e-4,0.0061,0.0014,6e-4,0.0196,2e-4,1e-4,3e-4,0.0219,0.0049,8e-4,0.0018,1e-4,8e-4,1e-4,7e-4,0.004,0.0057,0.0039,0.0601,0.0027,0.0023,2e-4,0,5e-4,0,7e-4,0.0031,5e-4,2e-4,0,0,0.0015,0.0036,0.0026,4e-4,5e-4,0.0012000000000000001,0.033299999999999996,0.031,0.0258,0.0686,0.028800000000000003,0.0582,0.1658,0.2029,0.2294,0.0969,0.0381,0.0201,0.2748,0.0733,0.22210000000000002,0.0448,0.026799999999999997,0.0104,0.0359,0.0166,0.025599999999999998,0.193,0.0331,0.0433
11,774379,765625,0.6158615510204082,0.3841384489795918,0.4853,0.5147,39.93526570048309,76213.69117647059,0.1075,0.8925,0.1547,0.8453,0.21980000000000002,0.2198,0.12840000000000001,0.1362,0.1338,0.16230000000000003,0.5738,0.1054,0.0678,0.0079,0.0011,0.0016,0.1614,0.0011,5e-4,2e-4,0.0024,0.0498,0.0196,0.0074,0.0685,0.7125,0.5318,0.1807,0.2875,0.2469,0.0406,0.3201,0.5452,0.06369999999999999,0.07100000000000001,0.1423,0.2828,0.1494,0.0706,0.2136,0.14129999999999998,0.7074,0.0356,0.257,0.9181999999999999,0.7112,0.2359,0.0818,0.5723,0.2039,0.1025,0.0037,0.0015,0.0293,7e-4,0.0013,0.0016,1e-4,6e-4,0.0092,0.0629,0.0102,0.0027,0.0057,2e-4,8e-4,0.0011,0.0029,0.0099,0.0067,0.0148,0.0936,8e-4,0.0064,3e-4,0,2e-4,0,0.0017,0.0084,0.0064,5e-4,0,2e-4,6e-4,0.0289,0.0059,0.0039,0.0014,0.0399,0.001,6e-4,0.0113,3e-4,1e-4,6e-4,0,1e-4,0.0031,0.0352,0.0048,8e-4,0.0033,2e-4,3e-4,4e-4,6e-4,0.0034,0.0029,0.0056,0.0638,2e-4,0.0038,1e-4,0,2e-4,0,0.001,0.0041,0.0016,2e-4,0,0,3e-4,0.0115,0.0013,7e-4,6e-4,0.0012000000000000001,0.07239999999999999,0.030600000000000002,0.0235,0.0976,0.0729,0.0252,0.0953,0.1127,0.2867,0.08030000000000001,0.0446,0.056999999999999995,0.15039999999999998,0.049800000000000004,0.1371,0.0706,0.0486,0.0409,0.0458,0.0305,0.0318,0.2186,0.0829,0.0931
12,777487,755451,0.28311697251046064,0.7168830274895394,0.4788,0.5212,37.9045197740113,108313.30113636363,0.067,0.933,0.0795,0.9205,0.12130000000000002,0.35040000000000004,0.1524,0.1145,0.1038,0.1578,0.6267,0.0893,0.0484,0.0085,0.0011,0.0015,0.1373,8e-4,4e-4,1e-4,0.0037,0.0494,0.024,0.0086,0.0468,0.3917,0.3055,0.0862,0.6083,0.4649,0.1434,0.48910000000000003,0.39449999999999996,0.0438,0.07250000000000001,0.068,0.1111,0.0848,0.0364,0.3815,0.3182,0.8011,0.032,0.1669,0.9410000000000001,0.8351999999999999,0.12459999999999999,0.0591,0.6417,0.1213,0.1338,0.0225,5e-4,0.0114,0.0086,0.0083,8e-4,0.0016,0.0021,0.0123,0.0111,0.0147,0.0056,0.0045,6e-4,0.0019,0.0011,0.0049,0.0029,0.0113,0.0065,0.0346,0.0101,0.0122,3e-4,0,0.0014,1e-4,0.0012,0.0051,0.0063,9e-4,0,0,0.0015,0.0074,0.0065,0.0035,4e-4,0.0505,0.0032,1e-4,0.0026,0.0024,9e-4,2e-4,2e-4,1e-4,0.0039,0.0036,0.007,0.0024,0.0014,2e-4,4e-4,1e-4,5e-4,0.001,0.005,0.002,0.0163,0.0049,0.0049,2e-4,0,8e-4,0,4e-4,0.0012,0.0012,3e-4,0,0,3e-4,0.0023,4e-4,4e-4,0,3e-4,0.0224,0.0312,0.0207,0.0672,0.0237,0.077,0.1764,0.23299999999999998,0.1921,0.09179999999999999,0.039599999999999996,0.0248,0.313,0.0829,0.2092,0.060200000000000004,0.0157,0.007699999999999999,0.0325,0.0169,0.0271,0.1832,0.0204,0.0312
13,786873,769773,0.09311836086742455,0.9068816391325755,0.4728,0.5272,35.31127819548872,48624.563909774435,0.2268,0.7732,0.3097,0.6903,0.2074,0.2949,0.13590000000000002,0.1262,0.10919999999999999,0.1263,0.1479,0.1319,0.2369,0.0542,0.0011,0.0045,0.0441,0.0016,4e-4,7e-4,0.0043,0.3088,0.0174,0.0462,0.1069,0.5513,0.2409,0.3104,0.4487,0.3568,0.0919,0.5093,0.3416,0.049699999999999994,0.0995,0.253,0.22449999999999998,0.1495,0.0548,0.1845,0.1338,0.6972,0.0641,0.2387,0.879,0.538,0.3762,0.121,0.3985,0.2768,0.4917,0.0189,0.0043,0.0027,0.0019,0.0026,3e-4,6e-4,5e-4,0.0019,0.0036,8e-4,0.0013,0.0011,2e-4,8e-4,4e-4,0.0016,0.0012,0.0069,0.0043,0.0116,0.0034,0.0038,1e-4,0,1e-4,0,0.0014,0.0014,0.0045,5e-4,0,1e-4,7e-4,0.005,0.0026,0.0181,4e-4,0.2362,0.0058,0.0016,6e-4,3e-4,2e-4,1e-4,1e-4,0,7e-4,0.0016,3e-4,6e-4,4e-4,0,2e-4,2e-4,4e-4,4e-4,0.0034,0.0021,0.0067,0.0015,0.0016,1e-4,0,1e-4,0,8e-4,5e-4,0.001,1e-4,0,0,2e-4,0.0026,2e-4,0.006,2e-4,7e-4,0.0369,0.0317,0.0174,0.096,0.053599999999999995,0.0343,0.0736,0.11710000000000001,0.2914,0.1566,0.0618,0.0291,0.1293,0.0398,0.15410000000000001,0.0403,0.0655,0.027999999999999997,0.0885,0.0627,0.0501,0.1923,0.049800000000000004,0.0993
14,619676,610186,0.3372971520159427,0.6627028479840573,0.4976,0.5024,38.46708860759494,62125.5,0.1266,0.8734,0.1834,0.8166,0.2094,0.2463,0.1541,0.1342,0.1139,0.1424,0.2091,0.2152,0.1,0.0204,0.0014,0.0046,0.1607,0.0029,2e-4,2e-4,0.005,0.2439,0.0139,0.0223,0.1291,0.6466,0.3963,0.2504,0.3534,0.2866,0.0668,0.41669999999999996,0.4466,0.056900000000000006,0.0797,0.22310000000000002,0.3015,0.1362,0.0794,0.1658,0.0941,0.7406,0.0425,0.2169,0.8335999999999999,0.5863,0.3019,0.1663,0.3212,0.3395,0.4376,0.0048,0.0029,0.0164,0.0031,0.0015,2e-4,4e-4,2e-4,0.0122,0.0058,0.0039,0.0035,0.0022,0.0016,0.001,0.0012,0.0072,0.0075,0.046,0.0155,0.0422,0.0023,0.009,8e-4,0,0.0014,0,0.0032,0.0092,0.0132,0.0016,0,3e-4,9e-4,0.0092,9e-4,0.0096,6e-4,0.2218,0.0015,8e-4,0.0064,0.0015,3e-4,1e-4,0,0,0.004,0.0031,0.0016,0.0015,0.001,5e-4,4e-4,6e-4,0.0032,0.0028,0.0243,0.0067,0.029,0.0012,0.0059,4e-4,0,0.001,0,0.0023,0.0052,0.0039,9e-4,0,1e-4,3e-4,0.0038,2e-4,0.003,2e-4,0.0018,0.0862,0.039,0.018799999999999997,0.10189999999999999,0.0846,0.0235,0.063,0.10650000000000001,0.23020000000000002,0.1447,0.0625,0.0373,0.114,0.0336,0.1,0.0414,0.046200000000000005,0.0284,0.0932,0.0649,0.0486,0.20600000000000002,0.0963,0.1274
15,719802,701068,0.10285307559323775,0.8971469244067622,0.4697,0.5303,32.30828025477707,31627.96129032258,0.324,0.676,0.4699,0.5301,0.27709999999999996,0.274,0.1216,0.1243,0.1024,0.10089999999999999,0.0261,0.1347,0.2829,0.075,0.0021,0.0052,0.0185,7e-4,3e-4,8e-4,0.0048,0.412,0.0085,0.0283,0.14139999999999997,0.6546,0.2333,0.4213,0.3454,0.3032,0.0422,0.5258,0.3395,0.0457,0.0889,0.33240000000000003,0.2812,0.17659999999999998,0.0682,0.104,0.0375,0.614,0.0764,0.3097,0.8586,0.4011,0.5186999999999999,0.1414,0.3328,0.3169,0.5823,0.0149,0.0032,0.0011,3e-4,2e-4,1e-4,1e-4,0,1e-4,2e-4,1e-4,1e-4,4e-4,1e-4,1e-4,0,2e-4,6e-4,0.0073,0.0021,0.0033,6e-4,6e-4,1e-4,0,1e-4,0,9e-4,9e-4,0.001,1e-4,0,2e-4,0,0.0029,1e-4,0.0418,0.0012,0.2823,0.0068,8e-4,4e-4,0,1e-4,0,0,0,0,1e-4,1e-4,0,1e-4,0,0,0,1e-4,2e-4,0.0038,8e-4,0.0024,3e-4,3e-4,0,0,0,0,6e-4,2e-4,2e-4,0,0,1e-4,0,0.0019,0,0.0146,7e-4,0.0012000000000000001,0.0487,0.0319,0.018099999999999998,0.1181,0.0851,0.0133,0.05789999999999999,0.0878,0.3143,0.135,0.059,0.0298,0.0662,0.0143,0.0864,0.028200000000000003,0.1212,0.0429,0.0853,0.0853,0.052599999999999994,0.21150000000000002,0.0649,0.1412
16,253880,245314,0.4632307980791965,0.5367692019208036,0.4524,0.5476,39.83548387096774,67272.18032786885,0.1171,0.8829,0.199,0.801,0.20640000000000003,0.22609999999999997,0.1253,0.1294,0.12689999999999999,0.1861,0.1583,0.0838,0.5271,0.0404,0.0025,0.0046,0.0314,7e-4,1e-4,1e-4,0.0099,0.1014,0.016,0.0238,0.0719,0.6289,0.3211,0.3078,0.3711,0.3326,0.0385,0.4309,0.39180000000000004,0.0735,0.1038,0.1704,0.265,0.1716,0.083,0.1747,0.1351,0.7139,0.0616,0.2245,0.9097,0.6813,0.2851,0.09029999999999999,0.7002,0.0939,0.194,0.0097,0.0071,0.0053,0.0021,0.0013,4e-4,5e-4,2e-4,0.0024,0.0047,0.0011,3e-4,8e-4,2e-4,4e-4,2e-4,8e-4,0.0032,0.0022,0.0061,0.0038,4e-4,0.002,0.0018,0,0,2e-4,4e-4,0.0012,0.0035,4e-4,0,3e-4,0.0015,0.0013,0.003,0.0369,0,0.0629,0.0026,0.0015,0.0017,5e-4,3e-4,0,0,0,2e-4,0.0027,5e-4,2e-4,2e-4,1e-4,0,0,1e-4,9e-4,0.0015,0.0018,0.0017,3e-4,0.0018,5e-4,0,0,1e-4,1e-4,2e-4,0.0011,3e-4,0,2e-4,9e-4,6e-4,6e-4,0.0078,0,7.999999999999999e-4,0.0463,0.026099999999999998,0.0137,0.0902,0.0699,0.0219,0.0693,0.0968,0.39359999999999995,0.07050000000000001,0.05,0.0508,0.1212,0.0288,0.1338,0.0803,0.0935,0.042499999999999996,0.0403,0.0454,0.0409,0.2264,0.0608,0.0861
3,111774,109545,0.7786663015199233,0.22133369848007667,0.475,0.525,47.64,92664.76,0.0486,0.9514,0.0635,0.9365,0.1855,0.1865,0.11359999999999999,0.13499999999999998,0.1519,0.2275,0.4317,0.0853,0.0381,0.0037,0.0024,0.0014,0.352,8e-4,6e-4,0,0.0056,0.0467,0.0226,0.009,0.0308,0.7079,0.5783,0.1296,0.2921,0.2604,0.0317,0.2692,0.5778,0.0805,0.0725,0.12019999999999999,0.23750000000000002,0.1481,0.0779,0.2404,0.1757,0.7516,0.0372,0.2112,0.9322,0.788,0.1649,0.0677,0.4966,0.2245,0.0953,0.0025,6e-4,0.0341,0.0016,0.0033,0.0014,0,0.0012,0.0365,0.0051,0.0014,0.0123,0.0023,0.003,0.0044,0.0134,0.0232,0.0138,0.053900000000000003,0.0069,0.0838,0.0042,0.0538,0,0,0.0016,0,7e-4,0.0254,0.0097,2e-4,0,2e-4,0.001,0.0046,0.0014,8e-4,0,0.0367,8e-4,4e-4,0.0119,7e-4,9e-4,1e-4,0,4e-4,0.0117,0.0022,6e-4,0.0033,0.0011,0.0018,0.0021,0.0065,0.0089,0.0044,0.0211,0.0049,0.0479,0.0025,0.0366,0,0,6e-4,0,4e-4,0.0113,0.0022,0,0,2e-4,4e-4,8e-4,4e-4,7e-4,0,9e-4,0.061700000000000005,0.0399,0.0251,0.0982,0.08779999999999999,0.022600000000000002,0.1015,0.1112,0.2756,0.0769,0.047799999999999995,0.0508,0.176,0.0577,0.11810000000000001,0.0974,0.023899999999999998,0.0282,0.0412,0.0219,0.030100000000000002,0.247,0.0629,0.0955
5,678012,665597,0.5860768603223873,0.41392313967761274,0.4754,0.5246,39.53649289099526,77572.09047619048,0.0936,0.9064,0.1835,0.8165,0.2214,0.23659999999999992,0.12240000000000001,0.1396,0.1358,0.14400000000000002,0.1003,0.0689,0.4832,0.0176,0.0036,0.0019,0.1442,9e-4,7e-4,1e-4,0.0491,0.0917,0.0284,0.0095,0.0838,0.7485,0.4349,0.3136,0.2515,0.2128,0.0387,0.41759999999999997,0.4427,0.060399999999999995,0.0793,0.183,0.2936,0.189,0.0801,0.1676,0.0869,0.7176,0.0575,0.225,0.8903000000000001,0.6247,0.2933,0.10969999999999999,0.6771,0.13899999999999998,0.1555,0.0099,0.0387,0.0025,0.0013,7e-4,0.001,7e-4,1e-4,0.0012,0.006,0.0029,6e-4,3e-4,1e-4,6e-4,5e-4,0.0058,0.0061,0.0438,0.0018,0.0083,3e-4,9e-4,1e-4,0,1e-4,0,6e-4,0.0033,0.008,3e-4,0,4e-4,2e-4,0.0029,0.0029,0.0136,9e-4,0.071,0.0029,0.0134,8e-4,4e-4,1e-4,1e-4,1e-4,0,3e-4,0.0035,0.0017,2e-4,1e-4,0,2e-4,1e-4,0.002,0.0028,0.0234,5e-4,0.0048,2e-4,6e-4,0,0,1e-4,0,3e-4,0.0014,0.0022,1e-4,0,2e-4,1e-4,0.001,5e-4,0.0037,2e-4,0.001,0.067,0.0286,0.0161,0.1001,0.11399999999999999,0.0191,0.0601,0.088,0.3162,0.078,0.0506,0.0612,0.1038,0.0285,0.1014,0.0653,0.08710000000000001,0.0477,0.040400000000000005,0.0511,0.0408,0.2195,0.0866,0.12769999999999998
6,767310,758440,0.4757976899952534,0.5242023100047466,0.481,0.519,41.95925925925926,72638.68981481482,0.0997,0.9003,0.1139,0.8861,0.19119999999999998,0.2202,0.1361,0.1404,0.1386,0.1736,0.3193,0.1028,0.0359,0.0058,0.0025,0.0016,0.3966,0.0017,1e-4,1e-4,0.0051,0.0957,0.0209,0.0119,0.0958,0.6687,0.489,0.1798,0.3313,0.2747,0.0566,0.3197,0.5406,0.0667,0.0731,0.1678,0.2573,0.1305,0.0818,0.2191,0.14350000000000002,0.7396,0.0344,0.226,0.8581,0.6471,0.2378,0.14190000000000003,0.3324,0.3713,0.1757,0.0047,0.0027,0.0136,0.0019,0.0035,0.0013,1e-4,2e-4,0.0123,0.0392,0.0157,0.0033,0.0034,0.002,0.0049,0.0041,0.0121,0.0118,0.0335,0.01,0.2,0.0029,0.0516,2e-4,0,0.0026,1e-4,0.0017,0.0094,0.0203,0.0041,0,2e-4,0.0019,0.0056,0.0089,0.0013,8e-4,0.0855,8e-4,7e-4,0.0052,6e-4,7e-4,3e-4,0,0,0.0043,0.0203,0.0068,0.0013,0.0014,7e-4,0.0023,0.002,0.0046,0.0049,0.0182,0.0039,0.1457,0.0014,0.0371,1e-4,0,0.0016,1e-4,0.0011,0.0052,0.007,0.0023,0,1e-4,5e-4,0.0023,0.0015,3e-4,5e-4,9e-4,0.0682,0.0377,0.0294,0.0949,0.07100000000000001,0.0238,0.09240000000000001,0.11760000000000001,0.23509999999999998,0.1148,0.0771,0.0371,0.1509,0.0526,0.11209999999999999,0.0627,0.0422,0.0209,0.0687,0.0427,0.0524,0.22100000000000003,0.0732,0.1007
7,675486,663510,0.25309942578107336,0.7469005742189266,0.4923,0.5077,34.323076923076925,68034.89221556886,0.1949,0.8051,0.2535,0.7465,0.226,0.29170000000000007,0.1441,0.1174,0.10250000000000001,0.11830000000000002,0.3196,0.1766,0.0915,0.026,0.0015,0.0034,0.1753,0.0013,7e-4,1e-4,0.0053,0.16,0.0192,0.0198,0.121,0.6094,0.3886,0.2208,0.3906,0.2704,0.1202,0.4534,0.4391,0.0454,0.0621,0.2611,0.2351,0.11069999999999999,0.0489,0.2139,0.1303,0.7256,0.0412,0.2332,0.8696,0.5826,0.32130000000000003,0.1303,0.3702,0.3236,0.3572,0.0067,0.0032,0.0045,0.0011,0.0031,0.0458,7e-4,0.0012,8e-4,0.0037,0.0168,0.0014,0.0017,2e-4,5e-4,5e-4,0.0015,0.0019,0.0104,0.0057,0.134,0.0021,0.0029,2e-4,0,4e-4,1e-4,0.0016,0.0025,0.0041,8e-4,0,0,9e-4,0.0065,0.0035,0.0012,3e-4,0.166,0.0012,0.0012,0.0014,3e-4,5e-4,0.0184,0,1e-4,2e-4,0.0018,0.0086,6e-4,0.001,0,1e-4,2e-4,5e-4,6e-4,0.0045,0.0026,0.1035,0.0011,0.0014,1e-4,0,1e-4,0,7e-4,0.0012,0.001,3e-4,0,0,5e-4,0.0028,8e-4,2e-4,1e-4,0.0014,0.0574,0.0432,0.0221,0.0969,0.052199999999999996,0.049600000000000005,0.0752,0.1607,0.2144,0.1444,0.054900000000000004,0.0276,0.15000000000000002,0.0491,0.1755,0.0305,0.0495,0.019799999999999998,0.0828,0.045700000000000005,0.038,0.19390000000000002,0.06659999999999999,0.0984
8,777934,764740,0.4074966655333839,0.5925033344666161,0.4577,0.5423,37.52317596566524,67244.55603448275,0.159,0.841,0.2495,0.7505,0.2232,0.2576,0.13119999999999998,0.1222,0.1206,0.1452,0.2594,0.0668,0.4601,0.0274,0.0014,0.0018,0.0686,7e-4,2e-4,2e-4,0.0066,0.0752,0.0196,0.012,0.0819,0.6258,0.338,0.2879,0.3742,0.2945,0.0797,0.4606,0.4006,0.059300000000000005,0.0795,0.1482,0.29259999999999997,0.1507,0.0713,0.2064,0.1309,0.7028,0.0498,0.2474,0.9117999999999999,0.6511,0.2973,0.0882,0.6377,0.1638,0.1482,0.0092,0.0418,0.0085,8e-4,0.0015,0.0096,7e-4,3e-4,0.0016,0.0559,0.0025,4e-4,0.0023,2e-4,8e-4,2e-4,0.0016,0.0074,0.0151,0.0029,0.0188,0.001,0.0016,2e-4,0,2e-4,0,5e-4,0.0018,0.0029,5e-4,0,2e-4,3e-4,0.0064,0.0058,0.0102,5e-4,0.0561,0.0029,0.0203,0.0026,2e-4,2e-4,0.0038,2e-4,0,5e-4,0.0375,0.001,1e-4,0.0014,2e-4,3e-4,0,7e-4,0.0039,0.0079,0.0012,0.0121,3e-4,6e-4,1e-4,0,2e-4,0,3e-4,6e-4,8e-4,1e-4,0,0,2e-4,0.003,0.0018,0.0024,3e-4,0.0014,0.0496,0.0283,0.0159,0.0953,0.0858,0.0377,0.0668,0.1262,0.309,0.08810000000000001,0.045399999999999996,0.0502,0.13369999999999999,0.0443,0.1609,0.0602,0.08009999999999999,0.0392,0.0419,0.0373,0.0382,0.20279999999999998,0.061799999999999994,0.0998
9,779381,764618,0.3322731089249795,0.6677268910750205,0.4612,0.5388,37.652272727272724,67575.76255707763,0.1327,0.8673,0.2227,0.7773,0.21799999999999997,0.2569,0.14,0.124,0.11629999999999999,0.1449,0.3304,0.0389,0.4514,0.0225,0.0012,9e-4,0.0676,8e-4,2e-4,0,0.0048,0.0488,0.0251,0.0074,0.0816,0.5951,0.3438,0.2513,0.4049,0.319,0.0859,0.4517,0.4193,0.0535,0.0755,0.14,0.2552,0.1456,0.0649,0.2247,0.16949999999999998,0.7239,0.0503,0.2259,0.9013,0.6379999999999999,0.2952,0.09880000000000001,0.6662,0.15739999999999998,0.0994,0.0119,0.0575,0.0034,0.001,0.0017,0.0093,7e-4,6e-4,0.0013,0.0524,0.0024,0.0015,0.0019,3e-4,0.0012,2e-4,0.001,0.0086,0.0081,0.0035,0.0233,0.0017,0.0018,1e-4,0,3e-4,0,0.0014,0.0067,0.0012,2e-4,0,2e-4,7e-4,0.0066,0.0135,0.0072,0.0011,0.0406,0.0037,0.0291,8e-4,1e-4,2e-4,0.0014,1e-4,1e-4,3e-4,0.0332,0.0014,7e-4,0.001,2e-4,6e-4,1e-4,2e-4,0.0049,0.0044,0.0019,0.0147,7e-4,0.001,1e-4,0,1e-4,0,9e-4,0.004,3e-4,1e-4,0,0,3e-4,0.0034,0.0038,0.0024,6e-4,7e-4,0.0415,0.023100000000000002,0.0181,0.0818,0.0689,0.046200000000000005,0.0746,0.1412,0.3255,0.08299999999999999,0.0554,0.0399,0.1506,0.052099999999999994,0.1923,0.056499999999999995,0.0862,0.030899999999999997,0.04,0.0395,0.0381,0.18309999999999998,0.0508,0.0799
