stateSenate,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
10,327561,322710,0.5616156921074649,0.4383843078925351,0.4765,0.5235,37.55744680851064,73340.44680851063,0.0974,0.9026,0.1982,0.8018,0.22619999999999998,0.2474,0.1244,0.1443,0.1302,0.1274,0.0643,0.0824,0.4691,0.0189,0.0045,0.0024,0.1566,0.0011,8e-4,0,0.0653,0.0937,0.0315,0.0095,0.0777,0.7696,0.434,0.3356,0.2304,0.194,0.0364,0.4184,0.4436,0.056400000000000006,0.0817,0.20639999999999997,0.3095,0.1876,0.075,0.1523,0.06910000000000001,0.7084,0.0568,0.2348,0.8948,0.616,0.3097,0.1052,0.6899,0.1224,0.1718,0.0063,0.0218,0.0022,0.0016,7e-4,5e-4,0.0011,1e-4,0.001,0.0042,0.0023,2e-4,5e-4,0,7e-4,3e-4,0.0068,0.0057,0.0408,0.0026,0.0085,4e-4,9e-4,1e-4,0,1e-4,0,5e-4,0.0029,0.0039,2e-4,0,6e-4,0,0.0028,0.0014,0.016,6e-4,0.0687,0.0015,0.007,9e-4,5e-4,1e-4,0,2e-4,0,1e-4,0.0034,0.0013,0,3e-4,0,2e-4,1e-4,0.0023,0.0024,0.0193,5e-4,0.0043,3e-4,6e-4,0,0,0,0,2e-4,0.001,0.001,0,0,2e-4,0,8e-4,1e-4,0.005,1e-4,0.001,0.0739,0.032,0.0165,0.10389999999999999,0.1246,0.0172,0.0568,0.0863,0.30179999999999996,0.0774,0.052599999999999994,0.0558,0.09570000000000001,0.0274,0.0904,0.061200000000000004,0.08700000000000001,0.0474,0.0406,0.0509,0.0431,0.2242,0.0959,0.1361
11,346613,343750,0.6493323636363636,0.35066763636363635,0.4829,0.5171,44.384375,83164.0625,0.0697,0.9303,0.0846,0.9154,0.1928,0.1982,0.12359999999999999,0.1395,0.1458,0.1998,0.3447,0.0698,0.0427,0.0038,0.0023,0.0012,0.413,0.0016,4e-4,0,0.0085,0.081,0.0207,0.0103,0.0614,0.7107,0.5541,0.1566,0.2893,0.2504,0.0389,0.28759999999999997,0.5717,0.0732,0.0676,0.1512,0.23429999999999998,0.1416,0.0859,0.2267,0.16040000000000001,0.7383,0.0362,0.2255,0.8955000000000001,0.7182999999999999,0.199,0.10450000000000001,0.4068,0.2982,0.1353,0.003,0.0027,0.0238,0.0019,0.0025,0.0012,2e-4,5e-4,0.0314,0.0173,0.0034,0.0076,0.003,0.0033,0.005,0.0049,0.0129,0.0125,0.0501,0.009,0.1442,0.0023,0.0737,3e-4,0,8e-4,1e-4,0.0011,0.0118,0.0154,4e-4,0,1e-4,0.0011,0.0045,0.0043,0.0015,1e-4,0.0616,8e-4,9e-4,0.0089,7e-4,6e-4,2e-4,0,1e-4,0.0102,0.0067,0.0011,0.0028,9e-4,0.0012,0.0022,0.0024,0.005,0.0037,0.0244,0.0048,0.0927,0.0012,0.051,1e-4,0,3e-4,0,7e-4,0.0052,0.0041,2e-4,0,1e-4,3e-4,0.0019,8e-4,3e-4,1e-4,7.999999999999999e-4,0.0656,0.0388,0.030900000000000004,0.1046,0.07619999999999999,0.0248,0.0991,0.10830000000000001,0.2486,0.08929999999999999,0.0678,0.0451,0.1605,0.056,0.1149,0.07680000000000001,0.0346,0.0224,0.051199999999999996,0.033,0.0412,0.24630000000000002,0.0675,0.0958
12,317781,315801,0.2423266550770897,0.7576733449229103,0.4983,0.5017,36.23913043478261,71503.57142857143,0.0963,0.9037,0.1124,0.8876,0.17189999999999997,0.3142,0.16369999999999998,0.125,0.1031,0.1221,0.3794,0.2127,0.0424,0.0087,0.001,0.0024,0.2077,0.0013,3e-4,1e-4,0.0052,0.1018,0.0204,0.0167,0.09000000000000001,0.5418,0.3731,0.1687,0.4582,0.3159,0.1423,0.4433,0.4417,0.0472,0.0678,0.15360000000000001,0.2463,0.1104,0.0625,0.2745,0.1525,0.781,0.0374,0.1816,0.8749999999999999,0.6629,0.239,0.125,0.3756,0.3046,0.2995,0.0067,5e-4,0.0123,0.0101,0.0038,5e-4,8e-4,8e-4,0.0285,0.0055,0.0197,0.0109,0.0062,0.0027,8e-4,0.0014,0.0067,0.0054,0.0577,0.0181,0.0402,0.0076,0.0168,3e-4,0,0.0034,2e-4,0.0019,0.0148,0.0173,0.0031,0,4e-4,0.0017,0.0149,0.002,9e-4,4e-4,0.1537,0.0015,2e-4,0.0043,0.0044,5e-4,1e-4,2e-4,0,0.0103,0.0018,0.0092,0.0053,0.0022,8e-4,2e-4,8e-4,0.0027,0.0026,0.0306,0.0078,0.0244,0.0042,0.0103,3e-4,0,0.0024,0,0.0013,0.008,0.0046,0.002,0,0,0.001,0.0067,1e-4,1e-4,0,0.0014,0.060899999999999996,0.037599999999999995,0.0201,0.09040000000000001,0.0683,0.0473,0.0847,0.16,0.19219999999999998,0.1487,0.0576,0.030699999999999998,0.1825,0.0586,0.1522,0.0417,0.0268,0.0174,0.0793,0.0487,0.0421,0.18619999999999998,0.0639,0.1006
13,309619,307416,0.30388138548416477,0.6961186145158352,0.5093,0.4907,37.01911764705882,60156.720588235294,0.1244,0.8756,0.198,0.802,0.21969999999999998,0.25060000000000004,0.1607,0.1318,0.1088,0.1284,0.1318,0.2701,0.0544,0.0122,0.0011,0.0053,0.1939,0.0034,0,3e-4,0.0033,0.2933,0.0129,0.0181,0.1797,0.6913,0.432,0.2592,0.3087,0.2334,0.0753,0.4151,0.4597,0.0504,0.0748,0.2666,0.32799999999999996,0.1149,0.0669,0.1516,0.0721,0.7551,0.0332,0.2117,0.7664,0.4989,0.3277,0.23360000000000003,0.1865,0.46290000000000003,0.5578,0.0065,0.0042,0.0049,0.0042,0.001,0,4e-4,3e-4,0.0168,0.0076,0.0037,0.0033,0.0018,4e-4,9e-4,0.0017,0.0089,0.0107,0.0516,0.0037,0.0658,0.0021,0.0061,0,0,0.0016,1e-4,0.0014,0.009,0.0174,0.0028,0,3e-4,5e-4,0.0083,6e-4,0.0062,9e-4,0.3301,0.0019,0.0013,0.0017,0.002,2e-4,0,0,0,0.0054,0.0042,0.0016,0.0011,9e-4,1e-4,5e-4,7e-4,0.004,0.0036,0.027,0.0016,0.0476,0.001,0.004,0,0,0.0012,0,0.001,0.0051,0.0073,0.0018,0,3e-4,1e-4,0.0028,4e-4,0.002,4e-4,0.0014999999999999998,0.1142,0.0393,0.019299999999999998,0.104,0.0824,0.0216,0.0537,0.1051,0.1656,0.18660000000000002,0.0815,0.0253,0.0893,0.0308,0.0769,0.0288,0.0398,0.0196,0.12990000000000002,0.08299999999999999,0.051,0.187,0.1202,0.1433
14,322228,313183,0.6053361772510002,0.3946638227489998,0.4749,0.5251,40.94298245614035,79333.22123893806,0.0832,0.9168,0.1499,0.8501,0.1997,0.2445,0.12459999999999999,0.1363,0.1409,0.15400000000000003,0.0828,0.054,0.5095,0.0168,0.0037,0.0018,0.1576,6e-4,7e-4,3e-4,0.0364,0.0983,0.0289,0.0086,0.0875,0.7214,0.432,0.2893,0.2786,0.2318,0.0468,0.4245,0.4406,0.05840000000000001,0.0765,0.1529,0.27790000000000004,0.1909,0.0863,0.1899,0.102,0.731,0.0588,0.2102,0.8888,0.6429,0.2694,0.1111,0.6325,0.1633,0.1424,0.014,0.0563,0.0018,6e-4,0.0011,4e-4,2e-4,0,0.0017,0.0108,0.0023,4e-4,5e-4,2e-4,0.0025,0.0013,0.0084,0.0118,0.0476,0.0039,0.016,8e-4,0.003,1e-4,0,4e-4,0,0.001,0.0052,0.0129,0.0011,0,3e-4,9e-4,0.0046,0.0023,0.0103,4e-4,0.0693,0.0042,0.0196,6e-4,4e-4,1e-4,0,0,0,6e-4,0.0055,0.0011,1e-4,0,0,0.001,2e-4,0.003,0.0054,0.0266,0.0013,0.0098,3e-4,0.0018,1e-4,0,4e-4,0,4e-4,0.0023,0.0036,4e-4,0,2e-4,1e-4,0.0016,8e-4,0.0023,2e-4,7.999999999999999e-4,0.0566,0.0267,0.0168,0.1032,0.107,0.0225,0.0652,0.09540000000000001,0.3163,0.0817,0.0465,0.0612,0.11380000000000001,0.0337,0.1064,0.0697,0.08410000000000001,0.0442,0.0436,0.0449,0.0378,0.2249,0.0761,0.1208
15,367364,362891,0.5477484974827151,0.4522515025172848,0.4831,0.5169,40.233628318584074,80099.5,0.0821,0.9179,0.1148,0.8852,0.2228,0.21000000000000002,0.1346,0.1373,0.1379,0.1574,0.4883,0.1585,0.0544,0.0094,0.0012,0.0017,0.1391,0.0014,1e-4,1e-4,0.0079,0.0972,0.0199,0.0208,0.0625,0.6934,0.4956,0.1978,0.3066,0.2553,0.0513,0.3423,0.514,0.0664,0.07730000000000001,0.1431,0.2766,0.1598,0.0806,0.2059,0.1338,0.7404,0.0403,0.2193,0.9041,0.7085999999999999,0.2221,0.09580000000000001,0.5132,0.2009,0.2137,0.005,0.0036,0.027,0.0016,0.0063,0.0022,1e-4,4e-4,0.0037,0.0237,0.0427,0.0047,0.0046,0.0014,0.0026,0.0019,0.0051,0.0039,0.0186,0.0156,0.0506,0.0018,0.0043,1e-4,0,7e-4,0,0.001,0.0028,0.0106,0.0023,0,0,0.0021,0.0079,0.0109,0.002,9e-4,0.0815,7e-4,0.001,0.0095,4e-4,0.0017,5e-4,0,0,0.0011,0.0112,0.0201,0.0019,0.0021,5e-4,0.0013,8e-4,0.0015,0.0017,0.0088,0.0065,0.0319,0.001,0.0025,0,0,4e-4,0,8e-4,0.0011,0.0025,0.0012,0,0,9e-4,0.0033,0.0018,5e-4,2e-4,0.0013,0.08249999999999999,0.0379,0.0244,0.07880000000000001,0.078,0.0229,0.0898,0.1182,0.26990000000000003,0.0935,0.055099999999999996,0.047799999999999995,0.1506,0.0455,0.1302,0.0544,0.044500000000000005,0.0315,0.048600000000000004,0.0505,0.0421,0.2119,0.0874,0.1027
16,296155,293442,0.37989790145923213,0.6201020985407678,0.4717,0.5283,42.43181818181818,57695.28787878788,0.1399,0.8601,0.1452,0.8548,0.17719999999999997,0.2248,0.1366,0.14240000000000003,0.1386,0.18070000000000003,0.2191,0.0819,0.0364,0.0061,0.0024,8e-4,0.5314,0.0021,2e-4,0,0.0032,0.0818,0.0213,0.0132,0.1179,0.6534,0.4621,0.1914,0.3466,0.2888,0.0577,0.31479999999999997,0.5393,0.0703,0.0755,0.1992,0.2652,0.1115,0.0863,0.2058,0.1319,0.7227,0.0326,0.2447,0.8162,0.5813999999999999,0.26239999999999997,0.18380000000000002,0.235,0.4818,0.1604,0.0042,0.0028,0.0049,0.0026,0.0021,0.001,2e-4,0,0.0054,0.0516,0.0052,0.0017,0.0017,0.0014,0.0043,0.0063,0.0154,0.0131,0.037,0.0053,0.3084,0.0038,0.0607,2e-4,0,0.0045,2e-4,0.0019,0.0127,0.0232,0.005,0,5e-4,0.0013,0.0043,0.0083,0.0015,0.0019,0.0848,9e-4,0.0011,0.0016,6e-4,3e-4,3e-4,0,0,0.0026,0.0299,0.0017,5e-4,0.001,8e-4,0.0022,0.0033,0.0064,0.0063,0.0213,0.0024,0.2389,0.0018,0.0457,0,0,0.0029,1e-4,0.0012,0.0074,0.0081,0.0023,0,2e-4,5e-4,0.0019,0.0013,4e-4,0.0011,0.0012,0.0613,0.0382,0.0294,0.0954,0.0689,0.021400000000000002,0.0875,0.1143,0.2308,0.1328,0.0862,0.0325,0.14100000000000001,0.0506,0.101,0.0644,0.0497,0.0196,0.0825,0.0422,0.0622,0.2139,0.0673,0.10569999999999999
17,321879,319545,0.3542098921904583,0.6457901078095417,0.4961,0.5039,33.20752688172043,59181.27173913043,0.1947,0.8053,0.2619,0.7381,0.3041,0.22669999999999998,0.1214,0.1068,0.1037,0.13699999999999998,0.5925,0.0581,0.0357,0.0046,0.0013,0.0015,0.2104,0.0011,2e-4,1e-4,0.003,0.066,0.0216,0.0039,0.18139999999999998,0.7148,0.5592,0.1555,0.2852,0.2333,0.0519,0.3123,0.5745,0.057999999999999996,0.0552,0.2415,0.2559,0.11180000000000001,0.0554,0.193,0.1427,0.7021,0.0383,0.2595,0.8795,0.49019999999999997,0.41769999999999996,0.12050000000000001,0.3188,0.3864,0.1174,0.0036,0.0044,0.0086,7e-4,0.001,0.1356,5e-4,3e-4,0.0021,0.1063,0.0132,0.003,0.007,6e-4,0.0035,5e-4,0.0018,0.0259,0.0195,0.0105,0.1443,5e-4,0.0015,5e-4,0,4e-4,0,0.002,0.0121,0.0034,4e-4,0,1e-4,0.0063,0.0101,0.0301,8e-4,0.0026,0.068,8e-4,0.0017,0.0045,2e-4,1e-4,0.0413,2e-4,1e-4,5e-4,0.0746,0.0092,0.0016,0.0053,6e-4,0.0019,2e-4,9e-4,0.0142,0.011,0.0065,0.1111,1e-4,8e-4,2e-4,0,3e-4,0,0.001,0.0096,0.0012,3e-4,0,0,0.0035,0.0044,0.0086,3e-4,0.0016,0.0013,0.0666,0.0377,0.0413,0.0948,0.0641,0.0282,0.0754,0.1027,0.301,0.1128,0.0499,0.024300000000000002,0.1295,0.041999999999999996,0.16,0.0478,0.0679,0.013000000000000001,0.0751,0.0317,0.0329,0.2247,0.0709,0.1045
18,341293,337048,0.1987936436353279,0.8012063563646721,0.4879,0.5121,32.116129032258065,59768.739130434784,0.2303,0.7697,0.284,0.716,0.2144,0.3459,0.1396,0.1099,0.092,0.0983,0.2545,0.1813,0.1988,0.0535,0.0015,0.0046,0.0605,6e-4,2e-4,6e-4,0.0051,0.2017,0.0178,0.0195,0.10649999999999998,0.5659,0.2959,0.27,0.4341,0.2685,0.1656,0.5475000000000001,0.35,0.039799999999999995,0.0628,0.2179,0.2803,0.1291,0.0506,0.2304,0.09179999999999999,0.716,0.0448,0.2392,0.8764000000000001,0.5966,0.32389999999999997,0.1235,0.4336,0.2511,0.4395,0.0059,0.0057,0.0037,0.0014,0.0019,0.0274,5e-4,5e-4,3e-4,0.0031,0.0151,4e-4,6e-4,0,1e-4,2e-4,0.0014,8e-4,0.0129,0.0027,0.0239,0.0026,0.0027,0,0,3e-4,1e-4,9e-4,0.003,0.0018,5e-4,0,1e-4,3e-4,0.0018,0.0023,0.0019,2e-4,0.1934,0.0013,0.0018,0.001,4e-4,3e-4,0.0115,0,0,0,0.0017,0.0086,0,3e-4,0,0,1e-4,4e-4,5e-4,0.0063,6e-4,0.0165,0.001,8e-4,0,0,0,0,4e-4,0.0016,5e-4,1e-4,0,0,1e-4,8e-4,5e-4,5e-4,1e-4,0.0015999999999999999,0.0507,0.0375,0.0223,0.1093,0.0589,0.06340000000000001,0.0609,0.16849999999999998,0.2131,0.133,0.0499,0.0308,0.1417,0.0494,0.1801,0.025,0.0593,0.0247,0.0712,0.0443,0.0396,0.1998,0.0651,0.0996
19,324039,315731,0.44822016210001553,0.5517798378999845,0.4451,0.5549,38.15882352941176,63063.970588235294,0.1562,0.8438,0.2654,0.7346,0.22849999999999998,0.23199999999999996,0.12730000000000002,0.1248,0.135,0.1524,0.1725,0.0555,0.5805,0.0297,0.001,0.0015,0.0759,5e-4,3e-4,1e-4,0.0053,0.057,0.0135,0.0066,0.08820000000000001,0.6706,0.3478,0.3227,0.3294,0.2999,0.0295,0.4488,0.4104,0.06129999999999999,0.0794,0.1624,0.33940000000000003,0.1656,0.0787,0.164,0.09,0.6793,0.0518,0.2688,0.9171,0.6127,0.33909999999999996,0.0829,0.6535,0.1576,0.113,0.0092,0.0647,0.0051,3e-4,3e-4,0.0024,6e-4,0,0.0022,0.0528,0.0019,7e-4,0.0016,2e-4,2e-4,2e-4,7e-4,0.0053,0.0047,0.0016,0.0387,4e-4,0.0013,0,0,1e-4,0,0.0021,0.0028,0.0025,2e-4,0,2e-4,4e-4,0.0074,0.0085,0.0137,6e-4,0.0404,0.0035,0.0311,0.0018,1e-4,1e-4,7e-4,1e-4,0,8e-4,0.0323,6e-4,1e-4,7e-4,1e-4,1e-4,0,1e-4,0.0023,0.0019,8e-4,0.0249,0,7e-4,0,0,1e-4,0,0.0015,0.0014,7e-4,1e-4,0,0,3e-4,0.0043,0.0028,0.0028,4e-4,0.0013,0.0546,0.0232,0.0156,0.0955,0.10790000000000001,0.0184,0.0571,0.092,0.362,0.0688,0.0461,0.0572,0.099,0.0327,0.1215,0.0808,0.1027,0.0494,0.0351,0.044700000000000004,0.045,0.2052,0.0721,0.112
20,291160,284975,0.23532239670146504,0.764677603298535,0.4624,0.5376,35.956,54365.84,0.1777,0.8223,0.2781,0.7219,0.2212,0.2742,0.1407,0.12010000000000001,0.1112,0.1328,0.1868,0.0779,0.5006,0.0231,0.001,0.0023,0.0769,7e-4,0,0,0.0048,0.0904,0.0213,0.0141,0.1019,0.5717,0.2875,0.2843,0.4283,0.3323,0.096,0.4942,0.3801,0.049800000000000004,0.0759,0.2107,0.274,0.1487,0.0575,0.1868,0.1222,0.707,0.0576,0.2354,0.8700000000000001,0.5637,0.3442,0.13,0.6221,0.19240000000000002,0.1958,0.0125,0.0479,0.0015,7e-4,0.0013,0.0116,7e-4,4e-4,2e-4,0.0048,0.0018,6e-4,2e-4,2e-4,5e-4,3e-4,7e-4,0.0011,0.0032,0.0023,0.0532,0.001,0.0012,3e-4,0,4e-4,1e-4,4e-4,0.0013,0.001,2e-4,0,1e-4,2e-4,0.0074,0.0135,0.0093,2e-4,0.0981,0.0048,0.0252,3e-4,1e-4,2e-4,0.0012,1e-4,1e-4,0,0.0023,9e-4,2e-4,1e-4,2e-4,2e-4,2e-4,2e-4,3e-4,0.0016,9e-4,0.0428,6e-4,6e-4,0,0,2e-4,0,2e-4,5e-4,5e-4,1e-4,0,0,0,0.0036,0.0032,0.0029,0,7e-4,0.0512,0.030600000000000002,0.015,0.0868,0.0683,0.038400000000000004,0.0632,0.1278,0.3076,0.1123,0.062,0.0359,0.1245,0.0397,0.1698,0.0449,0.09,0.0337,0.0673,0.051699999999999996,0.0447,0.1834,0.061200000000000004,0.0892
