RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,NYC,10.5,10.5,1.5,1.3
3/21/2020,NYC,11.9,10.5,1.4,0
3/22/2020,NYC,13.6,11.7,1.7,1.2
3/23/2020,NYC,15.1,13.1,1.5,1.4
3/24/2020,NYC,16.8,14.7,1.7,1.6
3/25/2020,NYC,18.5,16.2,1.7,1.5
3/26/2020,NYC,19.7,17.4,1.2,1.2
3/27/2020,NYC,21.3,18.4,1.6,1
3/28/2020,NYC,22.3,19.4,1,1
3/29/2020,NYC,23.4,20.5,1.1,1.1
3/30/2020,NYC,24.8,21.6,1.4,1.1
3/31/2020,NYC,26.1,22.9,1.3,1.3
4/1/2020,NYC,28,24.7,1.9,1.8
4/2/2020,NYC,31.2,27.6,3.2,2.9
4/3/2020,NYC,32.4,28.7,1.2,1.1
4/4/2020,NYC,33.4,29.4,1,0.7
4/5/2020,NYC,33.9,29.9,0.5,0.5
4/6/2020,NYC,34.5,30.4,0.6,0.5
4/7/2020,NYC,35,30.9,0.5,0.5
4/8/2020,NYC,35.5,31.3,0.5,0.4
4/9/2020,NYC,36,31.7,0.5,0.4
4/10/2020,NYC,36.5,32.1,0.5,0.4
4/11/2020,NYC,36.9,32.4,0.4,0.3
4/12/2020,NYC,37.2,32.6,0.3,0.2
4/13/2020,NYC,37.4,32.9,0.2,0.3
4/14/2020,NYC,37.8,33.2,0.4,0.3
4/15/2020,NYC,38.1,33.5,0.3,0.3
4/16/2020,NYC,38.5,33.8,0.4,0.3
4/17/2020,NYC,39,34.1,0.5,0.3
4/18/2020,NYC,39.5,34.3,0.5,0.2
4/19/2020,NYC,39.7,34.6,0.2,0.3
4/20/2020,NYC,40,34.8,0.3,0.2
4/21/2020,NYC,40.5,35,0.5,0.2
4/22/2020,NYC,41,35.3,0.5,0.3
4/23/2020,NYC,41.3,35.5,0.3,0.2
4/24/2020,NYC,41.9,35.8,0.6,0.3
4/25/2020,NYC,42.3,35.9,0.4,0.1
4/26/2020,NYC,42.6,36.1,0.3,0.2
4/27/2020,NYC,42.8,36.3,0.2,0.2
4/28/2020,NYC,43.1,36.5,0.3,0.2
4/29/2020,NYC,43.5,36.7,0.4,0.2
4/30/2020,NYC,43.8,37,0.3,0.3
5/1/2020,NYC,44.6,37.1,0.8,0.1
5/2/2020,NYC,44.9,37.3,0.3,0.2
5/3/2020,NYC,45.2,37.5,0.3,0.2
5/4/2020,NYC,45.4,37.7,0.2,0.2
5/5/2020,NYC,45.7,37.9,0.3,0.2
5/6/2020,NYC,46.1,38.1,0.4,0.2
5/7/2020,NYC,46.4,38.2,0.3,0.1
5/8/2020,NYC,46.8,38.4,0.4,0.2
5/9/2020,NYC,47.1,38.6,0.3,0.2
5/10/2020,NYC,47.4,38.7,0.3,0.1
5/11/2020,NYC,47.6,38.8,0.2,0.1
5/12/2020,NYC,47.8,39,0.2,0.2
5/13/2020,NYC,48.2,39.2,0.4,0.2
5/14/2020,NYC,48.4,39.3,0.2,0.1
5/15/2020,NYC,48.7,39.4,0.3,0.1
5/16/2020,NYC,48.9,39.5,0.2,0.1
5/17/2020,NYC,49,39.6,0.1,0.1
5/18/2020,NYC,49.1,39.7,0.1,0.1
5/19/2020,NYC,49.3,39.8,0.2,0.1
5/20/2020,NYC,49.4,39.9,0.1,0.1
5/21/2020,NYC,49.6,40,0.2,0.1
5/22/2020,NYC,49.8,40.1,0.2,0.1
5/23/2020,NYC,50,40.2,0.2,0.1
5/24/2020,NYC,50,40.3,0,0.1
5/25/2020,NYC,50.1,40.3,0.1,0
5/26/2020,NYC,50.2,40.4,0.1,0.1
5/27/2020,NYC,50.3,40.5,0.1,0.1
5/28/2020,NYC,50.5,40.6,0.2,0.1
5/29/2020,NYC,50.6,40.7,0.1,0.1
5/30/2020,NYC,50.8,40.7,0.2,0
5/31/2020,NYC,50.8,40.8,0,0.1
6/1/2020,NYC,50.9,40.8,0.1,0
6/2/2020,NYC,51,40.9,0.1,0.1
6/3/2020,NYC,51.2,41,0.2,0.1
6/4/2020,NYC,51.2,41,0,0
6/5/2020,NYC,51.3,41.1,0.1,0.1
6/8/2020,NYC,51.5,41.2,0.2,0.1
6/9/2020,NYC,51.6,41.3,0.1,0.1
6/10/2020,NYC,51.7,41.4,0.1,0.1
6/11/2020,NYC,51.8,41.4,0.1,0
6/12/2020,NYC,51.9,41.5,0.1,0.1
6/15/2020,NYC,52,41.6,0.1,0.1
6/16/2020,NYC,52.1,41.6,0.1,0
6/17/2020,NYC,52.2,41.7,0.1,0.1
6/18/2020,NYC,52.3,41.7,0.1,0
6/19/2020,NYC,52.3,41.8,0,0.1
6/22/2020,NYC,52.5,41.9,0.2,0.1
6/23/2020,NYC,52.5,42,0,0.1
6/24/2020,NYC,52.6,42,0.1,0
6/25/2020,NYC,52.6,42,0,0
6/26/2020,NYC,52.7,42.1,0.1,0.1
6/29/2020,NYC,52.8,42.2,0.1,0.1
6/30/2020,NYC,52.9,42.2,0.1,0
7/1/2020,NYC,52.9,42.3,0,0.1
7/2/2020,NYC,53,42.3,0.1,0
7/6/2020,NYC,53.1,42.4,0.1,0.1
7/7/2020,NYC,53.1,42.4,0,0
7/8/2020,NYC,53.1,42.4,0,0
7/9/2020,NYC,53.2,42.4,0.1,0
7/10/2020,NYC,53.2,42.5,0,0.1
7/13/2020,NYC,53.3,42.6,0.1,0.1
7/14/2020,NYC,53.4,42.6,0.1,0
7/15/2020,NYC,53.4,42.7,0,0.1
7/16/2020,NYC,53.4,42.7,0,0
7/17/2020,NYC,53.5,42.7,0.1,0
7/20/2020,NYC,53.5,42.8,0,0.1
7/21/2020,NYC,53.6,42.9,0.1,0.1
7/22/2020,NYC,53.7,42.9,0.1,0
7/23/2020,NYC,53.7,43,0,0.1
7/24/2020,NYC,53.8,43,0.1,0
7/27/2020,NYC,54,43.2,0.2,0.2
7/28/2020,NYC,54.1,43.3,0.1,0.1
7/29/2020,NYC,54.2,43.4,0.1,0.1
7/30/2020,NYC,54.4,43.5,0.2,0.1
7/31/2020,NYC,54.5,43.6,0.1,0.1
8/3/2020,NYC,54.7,43.8,0.2,0.2
8/4/2020,NYC,54.8,43.8,0.1,0
8/5/2020,NYC,54.8,43.9,0,0.1
8/6/2020,NYC,54.9,44,0.1,0.1
8/7/2020,NYC,55.1,44.1,0.2,0.1
8/10/2020,NYC,55.3,44.3,0.2,0.2
8/11/2020,NYC,55.4,44.4,0.1,0.1
8/12/2020,NYC,55.5,44.4,0.1,0
8/13/2020,NYC,55.5,44.5,0,0.1
8/14/2020,NYC,55.6,44.6,0.1,0.1
8/17/2020,NYC,55.9,44.9,0.3,0.3
8/18/2020,NYC,56.1,45,0.2,0.1
8/19/2020,NYC,56.2,45.1,0.1,0.1
8/20/2020,NYC,56.4,45.2,0.2,0.1
8/21/2020,NYC,56.5,45.4,0.1,0.2
8/24/2020,NYC,56.8,45.7,0.3,0.3
8/25/2020,NYC,57,45.8,0.2,0.1
8/26/2020,NYC,57.1,45.9,0.1,0.1
8/27/2020,NYC,57.3,46,0.2,0.1
8/28/2020,NYC,57.4,46.2,0.1,0.2
8/31/2020,NYC,57.7,46.5,0.3,0.3
9/1/2020,NYC,57.9,46.6,0.2,0.1
9/2/2020,NYC,58.1,46.7,0.2,0.1
9/3/2020,NYC,58.3,46.9,0.2,0.2
9/4/2020,NYC,58.5,47,0.2,0.1
9/8/2020,NYC,58.8,47.2,0.3,0.2
9/9/2020,NYC,58.9,47.3,0.1,0.1
9/10/2020,NYC,59.1,47.4,0.2,0.1
9/11/2020,NYC,59.3,47.5,0.2,0.1
9/14/2020,NYC,59.5,47.7,0.2,0.2
9/15/2020,NYC,59.6,47.8,0.1,0.1
9/16/2020,NYC,59.8,47.9,0.2,0.1
9/17/2020,NYC,59.9,47.9,0.1,0
9/18/2020,NYC,60,48,0.1,0.1
9/21/2020,NYC,60.1,48.1,0.1,0.1
9/22/2020,NYC,60.2,48.2,0.1,0.1
9/23/2020,NYC,60.4,48.3,0.2,0.1
9/24/2020,NYC,60.4,48.3,0,0
9/25/2020,NYC,60.6,48.4,0.2,0.1
9/28/2020,NYC,60.7,48.6,0.1,0.2
9/29/2020,NYC,60.8,48.7,0.1,0.1
9/30/2020,NYC,60.9,48.7,0.1,0
10/1/2020,NYC,61.1,48.9,0.2,0.2
10/2/2020,NYC,61.1,48.9,0,0
10/5/2020,NYC,61.2,49,0.1,0.1
10/6/2020,NYC,61.3,49,0.1,0
10/7/2020,NYC,61.3,49,0,0
10/8/2020,NYC,61.3,49.1,0,0.1
10/9/2020,NYC,61.4,49.1,0.1,0
10/13/2020,NYC,61.4,49.1,0,0
10/14/2020,NYC,61.5,49.2,0.1,0.1
10/15/2020,NYC,61.6,49.3,0.1,0.1
10/16/2020,NYC,61.8,49.5,0.2,0.2
10/17/2020,NYC,61.8,49.5,0,0
